monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20221106,20221113,79
0,0,0,0,0,1,1,20221106,20221113,83
0,0,0,0,0,1,1,20221112,20221113,103
0,0,0,0,1,0,1,20221106,20221111,125
0,0,0,0,1,0,1,20221111,20221113,3
0,0,0,0,1,1,0,20221111,20221112,88
0,0,0,0,1,1,1,20221106,20221113,106
0,0,0,0,1,1,1,20221111,20221113,102
0,0,1,0,1,0,0,20221109,20221111,168
0,0,1,1,0,0,0,20221109,20221110,135
0,0,1,1,0,0,1,20221109,20221113,27
0,0,1,1,1,0,0,20221109,20221111,100
0,0,1,1,1,0,1,20221106,20221111,105
0,0,1,1,1,1,0,20221109,20221112,164
0,0,1,1,1,1,1,20221109,20221113,121
0,1,0,0,0,1,0,20221108,20221112,56
0,1,1,0,0,0,0,20221108,20221109,137
0,1,1,0,1,0,0,20221108,20221111,1
0,1,1,1,0,0,0,20221108,20221110,129
0,1,1,1,1,0,0,20221108,20221111,122
0,1,1,1,1,0,1,20221106,20221111,127
0,1,1,1,1,1,1,20221108,20221113,139
1,0,0,0,0,0,1,20221106,20221107,118
1,0,0,0,0,0,1,20221106,20221113,128
1,0,0,0,0,1,0,20221107,20221112,146
1,0,0,0,0,1,1,20221106,20221113,130
1,0,0,0,1,0,0,20221107,20221111,94
1,0,0,0,1,1,1,20221106,20221113,149
1,0,0,1,0,0,0,20221107,20221110,152
1,0,0,1,1,0,0,20221107,20221111,166
1,0,1,1,1,0,0,20221107,20221111,131
1,0,1,1,1,0,1,20221106,20221111,136
1,0,1,1,1,1,1,20221106,20221113,142
1,1,0,0,0,0,0,20221107,20221108,104
1,1,0,0,0,0,1,20221106,20221108,92
1,1,0,0,0,0,1,20221106,20221113,47
1,1,0,0,0,1,1,20221106,20221113,29
1,1,0,0,1,0,0,20221107,20221111,6
1,1,1,0,0,0,1,20221106,20221109,91
1,1,1,1,0,0,0,20221107,20221110,93
1,1,1,1,0,0,1,20221106,20221110,99
1,1,1,1,0,0,1,20221106,20221113,112
1,1,1,1,1,0,0,20221107,20221111,81
1,1,1,1,1,0,1,20221106,20221111,89
1,1,1,1,1,1,0,20221107,20221112,84
1,1,1,1,1,1,1,20221106,20221113,82
1,1,1,1,1,1,1,20221107,20221113,95
