route_long_name,route_short_name,agency_id,route_type,route_id
1,1,54,2,850
1,RE,3,2,892
10,10,21,2,216
10,10,4,2,736
10,10,77,2,597
10,10,81,2,741
10a,10a,87,2,600
10b,10b,87,2,334
11,11,4,2,844
111,111,28,2,809
12,12,54,2,584
14,14,36,2,525
140,140,22,2,880
141,141,36,2,847
145,145,22,2,816
14A,14A,16,2,275
14B,14B,16,2,673
16,RE,114,2,868
17a,17a,87,2,439
17b,17b,87,2,474
17c,17c,87,2,647
18,RE,114,2,857
19,RE,114,2,855
2,S,54,2,776
20,20,94,2,5
21,21,36,2,865
22,22,36,2,894
221,221,36,2,839
24,RE,77,2,887
26,26,54,2,664
27,27,54,2,859
27,27,77,2,819
28,28,77,2,808
29,RE,76,2,596
3,IRE,48,2,269
3,RB,48,2,863
3,S,54,2,669
30,30,4,2,843
30,30,54,2,837
31,31,36,2,335
32,32,77,2,876
32,RE,77,2,895
35,IRE,16,2,3
4,S,54,2,893
4A,4A,16,2,885
50,IRE,48,2,340
6,IRE,48,2,43
6,RB,48,2,603
62,62,54,2,896
62,62,77,2,824
7,S,5,2,763
741,741,82,2,742
768,768,82,2,604
81,81,63,2,48
82,82,77,2,726
83,83,77,2,373
83,RB,3,2,852
84,84,51,2,555
84,84,61,2,8
84,84,77,2,805
89,89,54,2,446
8X,8X,35,2,711
9,9,21,2,239
90,90,54,2,874
90,90,77,2,608
91,91,54,2,563
912,912,36,2,775
913,913,36,2,614
93,RB,33,2,615
9601,9601,36,2,786
9650,9650,36,2,891
9653,9653,36,2,862
9654,9654,36,2,888
9655,9655,36,2,846
A1,A1,71,2,141
A2,A2,71,2,143
A3,A3,71,2,41
AIR,AIR,20,2,687
C11,C11,111,2,80
C13,C13,111,2,81
C14,C14,111,2,193
C15,C15,111,2,327
CD 030,CD 030,15,2,147
CD 034,CD 034,15,2,415
CD 035,CD 035,15,2,252
CD 036,CD 036,15,2,394
CD 037,CD 037,15,2,312
CD 038,CD 038,15,2,398
CD 040,CD 040,15,2,502
CD 041,CD 041,15,2,720
CD 042,CD 042,15,2,749
CD 044,CD 044,15,2,115
CD 064,CD 064,15,2,548
CD 070,CD 070,15,2,245
CD 080,CD 080,15,2,253
CD 081,CD 081,15,2,211
CD 083,CD 083,15,2,355
CD 084,CD 084,15,2,219
CD 085,CD 085,15,2,420
CD 086,CD 086,15,2,273
CD 087,CD 087,15,2,102
DPF,DPF,41,2,288
DPN,DPN,104,2,622
DPN,DPN,23,2,590
DPN,DPN,24,2,806
DPN,DPN,52,2,723
DPN,DPN,56,2,552
DPN,DPN,59,2,691
DPN,DPN,84,2,492
DPN,DPN,88,2,182
DPN,DPN,89,2,649
DPN,DPN,9,2,807
E,E,110,2,710
ECW,ECW,91,2,873
