stop_name,stop_id,stop_lat,stop_lon
Aachen Hbf,2948,50.7678,6.091499
Aachen Hbf,4902,50.7678,6.091499
Aachen Hbf,543,50.7678,6.091499
Aachen Hbf,5777,50.7678,6.091499
Aachen Hbf,7395,50.7678,6.091499
Aachen Hbf,7857,50.7678,6.091499
Aachen Hbf,8746,50.7678,6.091499
Aachen Schanz,8198,50.769863,6.07384
Aachen Schanz,949,50.769863,6.07384
Aachen Süd(Gr),3146,50.731915,6.04541
Aachen West,1137,50.78036,6.070715
Aachen West,4142,50.78036,6.070715
Aachen-Rothe Erde,3513,50.770203,6.116475
Aachen-Rothe Erde,4190,50.770203,6.116475
Aalen Hbf,10602,48.841713,10.096534
Aalen Hbf,10723,48.84168,10.09613
Aalen Hbf,6392,48.841698,10.096417
Aalen Hbf,845,48.841698,10.096363
Aalen Hbf,8912,48.84168,10.096183
Aarhus,5739,56.150074,10.204997
Abenden,4928,50.671085,6.476459
Abensberg,14780,48.819454,11.84662
Abensberg,7008,48.819454,11.84662
Abertshausen Abzw.,11052,47.73316,11.231384
Abzw. Einthal,9569,48.952934,12.168058
Abzw. Sudetenstraße,3252,47.86301,11.074799
Achern,10008,48.63399,8.065324
Achern,11060,48.633778,8.065353
Achern,8994,48.63399,8.065324
Achern Bahnhof,11734,48.633984,8.065407
Achern Bahnhof,5751,48.63396,8.065236
Achern Stadt,3404,48.625736,8.067706
Achim,120,53.016,9.030332
Achim,12835,53.015945,9.03038
Achkarren,1869,48.06009,7.60787
Achkarren Bahnhof,11683,48.059723,7.60838
Achmer,10408,52.39058,7.941991
Achmer,12737,52.390694,7.94201
Achselschwang Ort,752,48.036007,11.050024
Achselschwang Ort,9913,48.036095,11.049988
Achterwehr,14106,54.314915,9.964024
Adelebsen,10582,51.57769,9.760044
Adelebsen,14212,51.57766,9.759859
Adelschlag,1945,48.84076,11.211443
Adelschlag,3098,48.84076,11.211443
Adelsdorf(Mittelfr),11925,49.474945,10.687041
Adelsheim Nord,12051,49.421436,9.392569
Adelsheim Nord,7883,49.421417,9.392605
Adelsheim Ost,10934,49.402973,9.395165
Adelsheim Ost,13032,49.403008,9.395048
Adorf(Erzgeb),2730,50.76385,12.873666
Adorf(Vogtl),14145,50.324047,12.260894
Adorf(Vogtl),14594,50.32406,12.260754
Adorf(Vogtl),6314,50.324047,12.261021
Affaltrach,5252,49.13778,9.378924
Affaltrach,856,49.137886,9.379337
Agatharied,1287,47.765606,11.824472
Agathenburg,3824,53.56433,9.530793
Agathenburg,7336,53.564304,9.530748
Aglasterhausen,362,49.349895,8.990699
Aha,13438,47.833225,8.134349
Aha,1443,47.833225,8.134349
Aha,4303,47.833225,8.134349
Ahaus,11518,52.08204,7.016552
Ahaus,8688,52.08189,7.016462
Ahlbeck Grenze,1913,53.921967,14.215549
Ahlbeck Ostseetherme,12688,53.944427,14.177287
Ahlen(Westf),6496,51.76074,7.894979
Ahlen(Westf),969,51.760754,7.894934
Ahlhorn,13798,52.899315,8.209366
Ahlhorn,14667,52.899197,8.209481
Ahnatal-Casselbreite Gl.1 Ri. Wolfhagen,10144,51.36284,9.433889
Ahnatal-Heckershausen Gl.1 Ri. Kassel,11499,51.362988,9.422978
Ahnatal-Heckershausen Gl.2 Ri. Wolfhagen,6335,51.362988,9.422978
Ahnatal-Weimar,11923,51.36363,9.391588
Ahnatal-Weimar Gl.1 Ri.Wolfhagen,7480,51.363407,9.391969
Ahrensburg,13273,53.669094,10.236554
Ahrensburg,13281,53.669186,10.236437
Ahrensburg,3035,53.669216,10.236401
Ahrensburg,5426,53.669327,10.236312
Ahrensburg-Gartenholz,13069,53.689003,10.251951
Ahrensburg-Gartenholz,5988,53.689014,10.251897
Ahrensfelde,6527,52.571392,13.565467
Ahrensfelde Friedhof,13026,52.580524,13.573094
Ahrensfelde Nord,10382,52.590714,13.581945
Ahrweiler,1572,50.546543,7.107071
Ahrweiler,3836,50.546543,7.107071
Ahrweiler Markt,5178,50.544228,7.094229
Ahrweiler Markt,5977,50.544228,7.094229
Aich(Niederbay),14126,48.417316,12.398163
Aichach,12458,48.461117,11.122721
Aichach,400,48.461117,11.122721
Aidenried,9002,47.942265,11.157696
Aidenried Abzw. Staatsstr.,11803,47.942818,11.152063
Aidenried Abzw. Staatsstr.,11959,47.94289,11.152162
Ainring,12213,47.815033,12.964501
Aix-en-Provence TGV,13543,43.45517,5.317224
Albbruck,8250,47.592434,8.132269
Albbruck,9328,47.592438,8.132448
Albersdorf,8371,54.14632,9.292151
Albersweiler(Pfalz),435,49.218513,8.024273
"Albgaubad, Ettlingen",2075,48.936832,8.41495
"Albgaubad, Ettlingen",2275,48.936893,8.415184
Albig,14262,49.771523,8.116539
Albig,9945,49.771526,8.116593
Albrechtshof,4530,52.5493,13.129131
Albrechtshof,8676,52.549377,13.129182
Albshausen,3359,50.54525,8.434563
Albshausen,6745,50.54525,8.434563
Albsheim(Eis),12288,49.580914,8.179143
Albstadt-Ebingen,10828,48.21029,9.026962
Albstadt-Ebingen,7115,48.210224,9.027009
Albstadt-Ebingen,8228,48.210236,9.02753
Albstadt-Ebingen West,10532,48.21134,8.997202
Albstadt-Ebingen West,5227,48.21139,8.997194
Albstadt-Laufen Ort,1044,48.222553,8.917962
Albstadt-Lautlingen,4581,48.21364,8.95462
Aldingen(b Spaichingen),14086,48.095955,8.712904
Aldingen(b Spaichingen),9838,48.095955,8.712706
Aletshausen,4774,48.201313,10.383631
Alfeld(Leine),10409,51.981373,9.818101
Alfeld(Leine),2595,51.981316,9.818011
Alfter-Impekoven,14089,50.711395,7.020226
Alfter-Impekoven,2101,50.711414,7.020172
Alfter-Witterschlick,4131,50.689224,7.025823
Alfter-Witterschlick,962,50.689247,7.025742
Alken st(DK),10404,56.0526,9.845772
Allendorf(Dillkr),9933,50.74393,8.185656
Allensbach,10667,47.714146,9.06975
Allensbach,956,47.71432,9.06931
Allerheiligenhöfe,14173,47.26903,11.352969
Allersberg(Rothsee),11815,49.26213,11.212573
Allersberg(Rothsee),5855,49.26213,11.212573
Allmendingen,3850,48.32773,9.722353
Allmendingen,4882,48.327736,9.722382
Alpen,11055,51.583393,6.518041
Alpen,2395,51.58328,6.518158
Alpirsbach,13464,48.343884,8.398233
Alsdorf Poststraße,4746,50.855747,6.197075
Alsdorf(Westerw),1301,50.78089,7.890486
Alsdorf-Annapark,1557,50.870518,6.156661
Alsdorf-Busch,3230,50.876587,6.140586
Alsdorf-Kellersberg,12915,50.867527,6.167354
Alsdorf-Mariadorf,1198,50.861977,6.188454
Alsenz,10854,49.728203,7.817346
Alsenz,13351,49.727493,7.817189
Alsenz,4611,49.728203,7.817167
Alsenz,5423,49.728203,7.817229
Alsfeld(Oberhess),10969,50.751152,9.264454
Alsfeld(Oberhess),1948,50.751152,9.264454
Alsfeld(Oberhess),7122,50.751152,9.264454
Alsheim,3153,49.76531,8.342492
Alsheim,6578,49.7653,8.342555
Alt Hüttendorf,2254,52.957592,13.783574
Alt Hüttendorf,9625,52.957592,13.783574
Alt Rosenthal,10963,52.550404,14.278627
Alt Rosenthal,14576,52.550404,14.278627
"Alt Rosenthal, Bahnhof",11634,52.55032,14.278472
"Alt Rosenthal, Bahnhof",8874,52.55031,14.278016
Altbach,131,48.72028,9.382352
Altbach,13315,48.72036,9.382462
Altdorf West,1912,49.391148,11.341467
Altdorf(b Nürnberg),5260,49.390007,11.35353
Altdorf(b Nürnberg),6819,49.390007,11.35353
Altdöbern,8405,51.65251,14.009376
Alte Veste,6532,49.454323,10.972363
Altefähr,10535,54.322926,13.14101
Altefähr,8000,54.322926,13.14101
Altena(Westf),5182,51.302013,7.668693
Altena(Westf),8819,51.301956,7.668576
Altenbach,1315,51.35587,12.682324
Altenbach,2380,51.35587,12.682324
Altenbamberg,2801,49.786858,7.830745
Altenbamberg,6438,49.786858,7.830745
Altenbeken,10049,51.76628,8.942396
Altenbeken,13220,51.766327,8.942423
Altenbeken,570,51.766792,8.943753
Altenbeken,6803,51.766705,8.943861
Altenberge,10505,52.052105,7.481322
Altenberge,3677,52.052128,7.481385
Altenburg,9031,50.996647,12.444019
Altenburg,9227,50.996647,12.444019
Altenerding,10492,48.292656,11.90098
Altenerding,8375,48.29357,11.901744
Altenerding,9449,48.292744,11.901034
Altenfeld(Rhön),368,50.450706,9.849064
Altenglan,12141,49.54815,7.462134
Altenglan,14591,49.548134,7.462063
Altengörs,14515,53.898697,10.355554
Altenhasungen,500,51.34354,9.225737
Altenkirchen(Westerwald),10518,50.684418,7.638257
Altenkirchen(Westerwald),6445,50.684418,7.638257
Altenmarkt(Alz),6003,47.999817,12.536027
Altenseelbach,11809,50.7839,7.9925
Altenstadt(Hess),12933,50.283302,8.944282
Altenstadt(Hess),13185,50.283302,8.944282
Altenstadt(Iller),10698,48.16119,10.109983
Altenstadt(Iller),6604,48.16119,10.109983
Altenstadt(Waldnaab),14623,49.71568,12.16487
Altenstadt(Waldnaab),5007,49.71568,12.16487
Altenstadt-Höchst,13346,50.269753,8.923454
Altenstadt-Lindheim,5685,50.291164,8.977698
Altentreptow,12718,53.69195,13.242847
Altenwillershagen,14808,54.259407,12.572818
Altenwillershagen,1592,54.259407,12.572818
Altersbach,3980,50.70064,10.544522
Altes Lager,12350,52.015865,12.992407
Altglashütten-Falkau,1482,47.85939,8.114113
Altglashütten-Falkau,942,47.8591,8.11441
Althegnenberg,8860,48.23634,11.063067
Althegnenberg,9980,48.236286,11.063022
Altheim(Hess),6391,49.923798,8.891565
Altheim(Hess),9354,49.923798,8.891565
Althof,6046,54.090485,11.922171
Altmarkt/Regierungspräsidium  Ri. Am Stern,13967,51.316444,9.50445
Altmarkt/Regierungspräsidium  von Am Stern,5527,51.3161,9.504862
Altmittweida,2527,50.968494,12.959626
Altmittweida,4295,50.968784,12.959752
Altmorschen,10299,51.067276,9.610756
Altmorschen,11479,51.067276,9.610756
Altomünster,11301,48.38492,11.255133
Altomünster,2477,48.385044,11.254893
"Altomünster, Bahnhof",11336,48.38568,11.254193
Altranft,4511,52.7634,14.0823
Altshausen,567,47.930836,9.551229
Altshausen,6890,47.93071,9.551478
Altshausen,9535,47.93071,9.551478
Altstädten(Allgäu),11795,47.48855,10.280907
Altstädten(Allgäu),8242,47.48855,10.280907
Alttann,774,47.841213,9.793037
Altvaterstraße/Lichtenau,13604,47.86008,11.081276
Altötting,13436,48.22124,12.67479
Altötting,9100,48.22124,12.67479
Alveslohe,2857,53.791454,9.916375
Alzenau Burg,5393,50.08793,9.07434
Alzenau Nord,12466,50.089443,9.051385
Alzenau(Unterfr),8695,50.088715,9.065603
Alzey,10942,49.75037,8.10999
Alzey,12164,49.7502,8.109749
Alzey,5541,49.75044,8.109829
Alzey,7550,49.75035,8.110035
Alzey,8591,49.750416,8.109883
Alzey Süd,4392,49.737995,8.118884
Alzey West,7056,49.74098,8.107255
Am Silbernen Mann Drängetal Gleis 1,13615,51.798153,10.729809
Am Silbernen Mann Drängetal Gleis 2,12852,51.798153,10.729896
Am Stern  von Altmarkt,1785,51.31799,9.500695
Am Stern  von Holländ. Platz,1394,51.31838,9.500412
Am Stern  von Königsplatz,3071,51.31765,9.50006
Am Stern  von Lutherplatz,14562,51.318153,9.499707
Am Weinberg  Ri. Heinrich-Heine-Straße,9308,51.30749,9.48809
Am Weinberg  Ri. Rathaus,5318,51.307606,9.488421
Amberg,1300,49.447617,11.862902
Amberg,8282,49.447617,11.862902
Amberg,9317,49.447617,11.862902
Ammern,8378,51.233345,10.458086
Amorbach,5019,49.64552,9.223509
Amorbach,7817,49.64552,9.223509
Ampfing,13849,48.25395,12.410919
Ampfing,8451,48.25395,12.410919
Amriswil,10103,47.55057,9.301917
Amsdorf,13567,51.463562,11.71979
Amsdorf,8827,51.463562,11.71979
Amstetten(Württ),5596,48.57999,9.871489
Amstetten(Württ),9457,48.579998,9.871557
Amtshainersdorf,12489,50.9662,14.232207
Andernach,2614,50.434544,7.404839
Andernach,3782,50.434544,7.404839
Andernach,4540,50.434544,7.404839
Andernach,4846,50.434544,7.404839
Andernach,5481,50.434544,7.404839
Andisleben,10177,51.082645,10.926137
Andisleben,12057,51.0827,10.926207
"Andisleben, Vor dem See",4379,51.078915,10.927194
"Andisleben, Vor dem See",4865,51.0782,10.927638
Angermund,5507,51.331013,6.781705
Angermünde,1007,53.01584,13.996184
Angermünde,13823,53.017014,13.994776
Angermünde,4640,53.01574,13.995672
Angermünde,8142,53.015854,13.996267
