run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,configname,NonFrequentUpdates,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,datetime,20221208-21:22:50,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,datetimef,20221208-212250,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,experiment,NonFrequentUpdates,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,iterationvars,,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,iterationvarsd,,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,iterationvarsf,,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,measurement,,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,network,MuenchenNetwork,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,processid,7525,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,repetition,0,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,replication,#0,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,resultdir,results,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,runnumber,0,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,runattr,,,seedset,0,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,image-path,../images:../../../../../../Apps/omnetpp-6.0.1/projects/inet4.4/images,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,*.nClients,3,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,*.nTrains,2,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.client[*].app[0].startTime,"uniform(6s, 12s)",,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.client[*].app[0].numRequestsPerSession,"intuniform(10, 30)",,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.client[*].app[0].thinkTime,"truncnormal(2.5s, 1s)",,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.client[*].app[0].idleInterval,"truncnormal(10s, 4s)",,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.client[*].app[0].tracksToRequest,"""2""",,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.server.app[0].replyDelay,0s,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.server.app[0].trainDropTimeLimit,10s,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.train[*].app[0].sendInterval,"truncnormal(12s, 3s)",,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.train[*].app[0].trackId,2,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,network,MuenchenNetwork,,,,,,,,,,,
NonFrequentUpdates-0-20221208-21:22:50-7525,config,,,**.client[*].numApps,1,,,,,,,,,,,
